NOM_LIAISON;NOM_SUPP;TYPE_SUPPORT;LIB_SUPP;VITES;SENS;NOM_SOUS_ENS;NOM_CONT;LIB_CONT;TYPE_UTIL_CONT;FREQU_CONT;LABEL;SDI;NOM_BLOC;LIB_BLOC;FORMAT_BLOC;SSM_TYPE;NOM_PARAM;LIB_PARAM;NOM_TYPE;FORMAT_PARAM;POSITION;TAILLE;SIGNE;ECHEL;DOMAINE_VALEUR;UNITE;ETAT0;ETAT1
LIAISON_DIG;ADF1;A429;;LS;O;AIRCRAFT;032_01;;NORMAL;200;032;01;1;;HYB;BCD;ADF1FRQ;ADF1 frequency;V/DEFBCD1;BCD;29;15;O;7999;;KHZ;;
LIAISON_DIG;ADF1;A429;;LS;I;EIS;032_01;;NORMAL;200;032;01;1;;HYB;BCD;ADF1FRQ;ADF1 frequency;V/DEFBCD1;BCD;29;15;O;7999;;KHZ;;
LIAISON_DIG;ADF1;A429;;LS;O;AIRCRAFT;032_01;;NORMAL;200;032;01;1;;HYB;BCD;ADF1FRQKHZ;500 Hz add to ADF1 frequency (ADF1FREQ);DEFDW2;DW;14;1;;;;;INACTIF;ACTIF
LIAISON_DIG;ADF1;A429;;LS;I;EIS;032_01;;NORMAL;200;032;01;1;;HYB;BCD;ADF1FRQKHZ;500 Hz add to ADF1 frequency (ADF1FREQ);DEFDW2;DW;14;1;;;;;INACTIF;ACTIF
LIAISON_DIG;ADF1;A429;;LS;O;AIRCRAFT;032_01;;NORMAL;200;032;01;2;;HYB;BCD;ADF1FREQ;ADF1 frequency;VS/DEFBCD1;BCD;29;15;O;7999;;KHZ;;
LIAISON_DIG;ADF1;A429;;LS;I;EIS;032_01;;NORMAL;200;032;01;2;;HYB;BCD;ADF1FREQ;ADF1 frequency;VS/DEFBCD1;BCD;29;15;O;7999;;KHZ;;
LIAISON_DIG;ADF1;A429;;LS;O;AIRCRAFT;162_01;;NORMAL;31;162;01;1;;BNR;;ADF1BRG;ADF1 bearing;VS/DEFBNR1;BNR;28;12;O;180;;DEG;;
LIAISON_DIG;ADF1;A429;;LS;I;EIS;162_01;;NORMAL;31;162;01;1;;BNR;;ADF1BRG;ADF1 bearing;VS/DEFBNR1;BNR;28;12;O;180;;DEG;;
LIAISON_DIG;ADF1;A429;;LS;O;AIRCRAFT;254_01;;NORMAL;100;254;01;1;;ISO5;;ADF1IDCHAR1;ADF1 indentifier character 1;V/DEFISO51;ISO5;17;7;;;;;;
LIAISON_DIG;ADF1;A429;;LS;I;EIS;254_01;;NORMAL;100;254;01;1;;ISO5;;ADF1IDCHAR1;ADF1 indentifier character 1;V/DEFISO51;ISO5;17;7;;;;;;
LIAISON_DIG;ADF1;A429;;LS;O;AIRCRAFT;254_01;;NORMAL;100;254;01;1;;ISO5;;ADF1IDCHAR2;ADF1 identifier character 2;V/DEFISO51;ISO5;25;7;;;;;;
LIAISON_DIG;ADF1;A429;;LS;I;EIS;254_01;;NORMAL;100;254;01;1;;ISO5;;ADF1IDCHAR2;ADF1 identifier character 2;V/DEFISO51;ISO5;25;7;;;;;;
LIAISON_DIG;ADF1;A429;;LS;O;AIRCRAFT;255_01;;NORMAL;100;255;01;1;;ISO5;;ADF1IDCHAR3;ADF1 identifier character 3;V/DEFISO51;ISO5;17;7;;;;;;
LIAISON_DIG;ADF1;A429;;LS;I;EIS;255_01;;NORMAL;100;255;01;1;;ISO5;;ADF1IDCHAR3;ADF1 identifier character 3;V/DEFISO51;ISO5;17;7;;;;;;
LIAISON_DIG;ADF1;A429;;LS;O;AIRCRAFT;255_01;;NORMAL;100;255;01;1;;ISO5;;ADF1IDCHAR4;ADF1 identifier character 4;V/DEFISO51;ISO5;25;7;;;;;;
LIAISON_DIG;ADF1;A429;;LS;I;EIS;255_01;;NORMAL;100;255;01;1;;ISO5;;ADF1IDCHAR4;ADF1 identifier character 4;V/DEFISO51;ISO5;25;7;;;;;;
LIAISON_DIG;ADF2;A429;;LS;O;AIRCRAFT;032_10;;NORMAL;200;032;10;1;;HYB;BCD;ADF2FRQ;ADF2 frequency;V/DEFBCD1;BCD;29;15;O;7999;;KHZ;;
LIAISON_DIG;ADF2;A429;;LS;I;EIS;032_10;;NORMAL;200;032;10;1;;HYB;BCD;ADF2FRQ;ADF2 frequency;V/DEFBCD1;BCD;29;15;O;7999;;KHZ;;
LIAISON_DIG;ADF2;A429;;LS;O;AIRCRAFT;032_10;;NORMAL;200;032;10;1;;HYB;BCD;ADF2FRQKHZ;500 Hz to add to ADF2 frequency (ADF2FRQ);DEFDW2;DW;14;1;;;;;INACTIF;ACTIF
LIAISON_DIG;ADF2;A429;;LS;I;EIS;032_10;;NORMAL;200;032;10;1;;HYB;BCD;ADF2FRQKHZ;500 Hz to add to ADF2 frequency (ADF2FRQ);DEFDW2;DW;14;1;;;;;INACTIF;ACTIF
LIAISON_DIG;ADF2;A429;;LS;O;AIRCRAFT;032_10;;NORMAL;200;032;10;2;;HYB;BCD;ADF2FREQ;ADF2 frequency;VS/DEFBCD1;BCD;29;15;O;7999;;KHZ;;
LIAISON_DIG;ADF2;A429;;LS;I;EIS;032_10;;NORMAL;200;032;10;2;;HYB;BCD;ADF2FREQ;ADF2 frequency;VS/DEFBCD1;BCD;29;15;O;7999;;KHZ;;
LIAISON_DIG;ADF2;A429;;LS;O;AIRCRAFT;162_10;;NORMAL;31;162;10;1;;BNR;;ADF2BRG;ADF2 bearing;VS/DEFBNR1;BNR;28;12;O;180;;DEG;;
LIAISON_DIG;ADF2;A429;;LS;I;EIS;162_10;;NORMAL;31;162;10;1;;BNR;;ADF2BRG;ADF2 bearing;VS/DEFBNR1;BNR;28;12;O;180;;DEG;;
LIAISON_DIG;ADF2;A429;;LS;O;AIRCRAFT;254_10;;NORMAL;100;254;10;1;;ISO5;;ADF2IDCHAR1;ADF2 identifier character 1;V/DEFISO51;ISO5;17;7;;;;;;
LIAISON_DIG;ADF2;A429;;LS;I;EIS;254_10;;NORMAL;100;254;10;1;;ISO5;;ADF2IDCHAR1;ADF2 identifier character 1;V/DEFISO51;ISO5;17;7;;;;;;
LIAISON_DIG;ADF2;A429;;LS;O;AIRCRAFT;254_10;;NORMAL;100;254;10;1;;ISO5;;ADF2IDCHAR2;ADF2 identifier character 2;V/DEFISO51;ISO5;25;7;;;;;;
LIAISON_DIG;ADF2;A429;;LS;I;EIS;254_10;;NORMAL;100;254;10;1;;ISO5;;ADF2IDCHAR2;ADF2 identifier character 2;V/DEFISO51;ISO5;25;7;;;;;;
LIAISON_DIG;ADF2;A429;;LS;O;AIRCRAFT;255_10;;NORMAL;100;255;10;1;;ISO5;;ADF2IDCHAR3;ADF2 identifier character 3;V/DEFISO51;ISO5;17;7;;;;;;
LIAISON_DIG;ADF2;A429;;LS;I;EIS;255_10;;NORMAL;100;255;10;1;;ISO5;;ADF2IDCHAR3;ADF2 identifier character 3;V/DEFISO51;ISO5;17;7;;;;;;
LIAISON_DIG;ADF2;A429;;LS;O;AIRCRAFT;255_10;;NORMAL;100;255;10;1;;ISO5;;ADF2IDCHAR4;ADF2 identifier character 4;V/DEFISO51;ISO5;25;7;;;;;;
LIAISON_DIG;ADF2;A429;;LS;I;EIS;255_10;;NORMAL;100;255;10;1;;ISO5;;ADF2IDCHAR4;ADF2 identifier character 4;V/DEFISO51;ISO5;25;7;;;;;;
LIAISON_DIG;ADR1;A429;;LS;O;AIRCRAFT;203_01;;NORMAL;31;203;01;1;;BNR;;ALTSTD;Standard altitude;V/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;I;EIS;203_01;;NORMAL;31;203;01;1;;BNR;;ALTSTD;Standard altitude;V/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;O;AIRCRAFT;203_01;;NORMAL;31;203;01;2;;BNR;;DV_ALTSTD1;Standard altitude (feedback);VR/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;I;EIS;203_01;;NORMAL;31;203;01;2;;BNR;;DV_ALTSTD1;Standard altitude (feedback);VR/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;O;AIRCRAFT;203_01;;NORMAL;31;203;01;3;;BNR;;ALTSTD1;Standard altitude ADR1;VS/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;I;EIS;203_01;;NORMAL;31;203;01;3;;BNR;;ALTSTD1;Standard altitude ADR1;VS/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;O;AIRCRAFT;203_01;;NORMAL;31;203;01;4;;BNR;;ALT1BITE;Standard altitude for BITE;V/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;I;EIS;203_01;;NORMAL;31;203;01;4;;BNR;;ALT1BITE;Standard altitude for BITE;V/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;O;AIRCRAFT;203_01;;NORMAL;31;203;01;5;;BNR;;ALT1;Standard altitude 1;V/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;I;EIS;203_01;;NORMAL;31;203;01;5;;BNR;;ALT1;Standard altitude 1;V/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;O;AIRCRAFT;204_01;;NORMAL;31;204;01;1;;BNR;;BAROALT1;Barometrical corrected altitude 1;V/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;I;EIS;204_01;;NORMAL;31;204;01;1;;BNR;;BAROALT1;Barometrical corrected altitude 1;V/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;O;AIRCRAFT;204_01;;NORMAL;31;204;01;2;;BNR;;DV_BAR1ALT1;Barometrical corrected altitude 1 (feedback) from ADR1;VR/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;I;EIS;204_01;;NORMAL;31;204;01;2;;BNR;;DV_BAR1ALT1;Barometrical corrected altitude 1 (feedback) from ADR1;VR/DEFBNR1;BNR;28;17;O;131072;;FT;;
LIAISON_DIG;ADR1;A429;;LS;O;AIRCRAFT;204_01;;NORMAL;31;204;01;3;;BNR;;BAROALT;Barometrical corrected altitude;VS/DEFBNR1;BNR;28;17;O;131072;;FT;;
