Key;Flow Name;Producer Model;Producer port;Producer operator;Signal Name;Consumer Model;Consumer port;Consumer Operator;Priority;Automatic Choice Available;Automatic Choice;Manual Choice;Comment
EIU/1/ATHR_Inop;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;ATHR_Inop;EIU/1;ATHR_Inop;;1;Connection Over Empty;;;
EIU/1/ATHR_Inop;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FGE/1;OUT_BATHINOP;;OUT_BATHINOP;EIU/1;ATHR_Inop;;2;Connection Over Empty;X;;
EIU/1/EEC_A_LABEL272_BIT12;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;EEC_A_LABEL272_BIT12;EIU/1;EEC_A_LABEL272_BIT12;;1;Connection Over Empty;;;
EIU/1/EEC_A_LABEL272_BIT12;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FADEC/1;EEC_LBL272_PCN1REDEXCAS_A;;FADEC_1_EEC_LBL272_PCN1REDEXCAS_A;EIU/1;EEC_A_LABEL272_BIT12;;2;Connection Over Empty;X;;
EIU/1/EEC_A_PS3_Sel;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;EEC_A_PS3_Sel;EIU/1;EEC_A_PS3_Sel;;1;Connection Over Empty;;;
EIU/1/EEC_A_PS3_Sel;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FADEC/1;EEC_LBL264_PS3SEL_A;;FADEC_1_EEC_LBL264_PS3SEL_A;EIU/1;EEC_A_PS3_Sel;;2;Connection Over Empty;X;;
EIU/1/EEC_B_LABEL272_BIT12;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;EEC_B_LABEL272_BIT12;EIU/1;EEC_B_LABEL272_BIT12;;1;Connection Over Empty;;;
EIU/1/EEC_B_LABEL272_BIT12;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FADEC/1;EEC_LBL272_PCN1REDEXCAS_B;;FADEC_1_EEC_LBL272_PCN1REDEXCAS_B;EIU/1;EEC_B_LABEL272_BIT12;;2;Connection Over Empty;X;;
EIU/1/EEC_B_PS3_Sel;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;EEC_B_PS3_Sel;EIU/1;EEC_B_PS3_Sel;;1;Connection Over Empty;;;
EIU/1/EEC_B_PS3_Sel;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FADEC/1;EEC_LBL264_PS3SEL_B;;FADEC_1_EEC_LBL264_PS3SEL_B;EIU/1;EEC_B_PS3_Sel;;2;Connection Over Empty;X;;
